date,day_of_week,is_weekend,weather,exam_day,event,attendance_pct,meals_prepared,meals_consumed,surplus_meals
2025-04-09,Wednesday,0,Sunny,0,None,88.2,404,390,14
2025-04-10,Thursday,0,Rainy,0,None,82.5,377,364,13
2025-04-11,Friday,0,Rainy,0,None,82.3,365,359,6
2025-04-12,Saturday,1,Cloudy,0,None,66.4,238,230,8
2025-04-13,Sunday,1,Rainy,0,None,57.2,201,197,4
2025-04-14,Monday,0,Cloudy,0,Workshop,89.7,422,412,10
2025-04-15,Tuesday,0,Sunny,0,None,89.5,417,405,12
2025-04-16,Wednesday,0,Rainy,0,None,85.0,374,362,12
2025-04-17,Thursday,0,Sunny,0,None,87.5,415,408,7
2025-04-18,Friday,0,Cloudy,0,None,87.2,404,393,11
2025-04-19,Saturday,1,Sunny,0,None,61.6,236,229,7
2025-04-20,Sunday,1,Cloudy,0,None,60.3,225,220,5
2025-04-21,Monday,0,Sunny,0,None,85.6,392,384,8
2025-04-22,Tuesday,0,Sunny,0,None,83.3,392,380,12
2025-04-23,Wednesday,0,Sunny,0,None,89.5,416,409,7
2025-04-24,Thursday,0,Cloudy,0,None,81.2,385,374,11
2025-04-25,Friday,0,Sunny,0,None,89.7,406,399,7
2025-04-26,Saturday,1,Hot,0,Sports Event,55.4,193,189,4
2025-04-27,Sunday,1,Rainy,0,None,64.5,215,210,5
2025-04-28,Monday,0,Hot,0,None,79.2,363,353,10
2025-04-29,Tuesday,0,Rainy,0,None,79.6,356,346,10
2025-04-30,Wednesday,0,Cloudy,1,None,89.4,407,397,10
2025-05-01,Thursday,0,Sunny,0,None,90.3,424,410,14
2025-05-02,Friday,0,Sunny,0,None,85.4,391,381,10
2025-05-03,Saturday,1,Sunny,0,None,64.6,264,255,9
2025-05-04,Sunday,1,Cloudy,0,None,57.1,201,196,5
2025-05-05,Monday,0,Sunny,0,Sports Event,87.6,425,414,11
2025-05-06,Tuesday,0,Cloudy,0,None,79.3,387,375,12
2025-05-07,Wednesday,0,Hot,0,None,86.9,387,378,9
2025-05-08,Thursday,0,Rainy,0,Cultural Event,83.7,393,383,10
2025-05-09,Friday,0,Hot,0,None,82.8,369,356,13
2025-05-10,Saturday,1,Rainy,0,Sports Event,61.9,220,214,6
2025-05-11,Sunday,1,Rainy,0,None,64.5,230,226,4
2025-05-12,Monday,0,Sunny,0,None,93.1,456,442,14
2025-05-13,Tuesday,0,Sunny,0,Sports Event,89.3,444,434,10
2025-05-14,Wednesday,0,Hot,0,None,85.6,389,381,8
2025-05-15,Thursday,0,Cloudy,0,None,86.4,398,387,11
2025-05-16,Friday,0,Rainy,0,None,78.5,346,340,6
2025-05-17,Saturday,1,Sunny,0,None,65.4,250,243,7
2025-05-18,Sunday,1,Sunny,0,Cultural Event,74.7,288,280,8
2025-05-19,Monday,0,Sunny,0,None,87.7,436,424,12
2025-05-20,Tuesday,0,Rainy,0,None,78.6,348,342,6
2025-05-21,Wednesday,0,Rainy,0,None,79.1,344,333,11
2025-05-22,Thursday,0,Sunny,0,None,95.8,455,440,15
2025-05-23,Friday,0,Sunny,0,None,81.1,395,388,7
2025-05-24,Saturday,1,Cloudy,0,None,56.1,218,213,5
2025-05-25,Sunday,1,Hot,0,None,57.8,200,196,4
2025-05-26,Monday,0,Sunny,1,None,78.5,356,346,10
2025-05-27,Tuesday,0,Sunny,0,None,91.1,433,419,14
2025-05-28,Wednesday,0,Sunny,0,None,88.3,429,419,10
2025-05-29,Thursday,0,Sunny,0,None,83.9,403,396,7
2025-05-30,Friday,0,Sunny,0,Sports Event,91.9,441,427,14
2025-05-31,Saturday,1,Cloudy,0,None,63.3,230,224,6
2025-06-01,Sunday,1,Rainy,0,None,58.8,202,196,6
2025-06-02,Monday,0,Sunny,0,None,88.2,429,419,10
2025-06-03,Tuesday,0,Sunny,0,None,90.5,428,413,15
2025-06-04,Wednesday,0,Cloudy,0,None,88.3,428,416,12
2025-06-05,Thursday,0,Cloudy,0,None,89.3,423,415,8
2025-06-06,Friday,0,Rainy,0,None,85.1,386,374,12
2025-06-07,Saturday,1,Hot,0,None,62.7,213,206,7
2025-06-08,Sunday,1,Rainy,0,None,65.6,218,213,5
2025-06-09,Monday,0,Sunny,0,None,82.1,398,387,11
2025-06-10,Tuesday,0,Cloudy,0,None,76.8,373,363,10
2025-06-11,Wednesday,0,Sunny,0,None,84.6,402,392,10
2025-06-12,Thursday,0,Cloudy,0,Sports Event,86.7,418,409,9
2025-06-13,Friday,0,Sunny,0,None,83.5,402,392,10
2025-06-14,Saturday,1,Rainy,0,None,57.4,193,187,6
2025-06-15,Sunday,1,Sunny,0,Workshop,69.2,269,260,9
2025-06-16,Monday,0,Rainy,0,None,84.2,388,377,11
2025-06-17,Tuesday,0,Cloudy,0,None,86.4,391,381,10
2025-06-18,Wednesday,0,Hot,0,None,84.8,368,356,12
2025-06-19,Thursday,0,Rainy,0,Workshop,82.1,367,357,10
2025-06-20,Friday,0,Rainy,1,None,82.0,354,343,11
2025-06-21,Saturday,1,Hot,0,None,63.1,219,215,4
2025-06-22,Sunday,1,Cloudy,0,None,66.1,231,223,8
2025-06-23,Monday,0,Rainy,0,None,79.3,364,352,12
2025-06-24,Tuesday,0,Sunny,0,None,86.7,413,400,13
2025-06-25,Wednesday,0,Rainy,0,None,79.6,364,351,13
2025-06-26,Thursday,0,Sunny,0,None,81.5,385,374,11
2025-06-27,Friday,0,Sunny,0,Workshop,92.7,444,430,14
2025-06-28,Saturday,1,Cloudy,0,None,61.1,232,227,5
2025-06-29,Sunday,1,Cloudy,0,None,54.6,207,203,4
2025-06-30,Monday,0,Sunny,0,None,86.5,407,398,9
2025-07-01,Tuesday,0,Sunny,0,None,91.3,433,423,10
2025-07-02,Wednesday,0,Cloudy,0,None,79.6,369,360,9
