date,day_of_week,weather,attendance_pct,meals_prepared,meals_consumed
2026-01-01,Thursday,Sunny,71.5,478,413
2026-01-02,Friday,Rainy,64.9,404,343
2026-01-03,Saturday,Cloudy,75.5,397,338
2026-01-04,Sunday,Sunny,88.6,429,387
2026-01-05,Monday,Sunny,82.1,543,472
2026-01-06,Tuesday,Sunny,67.5,454,420
2026-01-07,Wednesday,Sunny,81.7,531,485
2026-01-08,Thursday,Rainy,83.9,544,459
2026-01-09,Friday,Cloudy,71.2,475,452
2026-01-10,Saturday,Cloudy,81.5,359,338
2026-01-11,Sunday,Sunny,80.6,370,342
2026-01-12,Monday,Rainy,68.6,362,343
2026-01-13,Tuesday,Cloudy,83.6,561,521
2026-01-14,Wednesday,Sunny,85.6,630,554
2026-01-15,Thursday,Sunny,90.8,610,548
2026-01-16,Friday,Sunny,90.5,682,576
2026-01-17,Saturday,Sunny,66.2,327,279
2026-01-18,Sunday,Sunny,70.6,323,293
2026-01-19,Monday,Sunny,85.2,577,530
2026-01-20,Tuesday,Sunny,85.1,566,511
2026-01-21,Wednesday,Cloudy,85.2,593,521
2026-01-22,Thursday,Sunny,100.0,655,601
2026-01-23,Friday,Sunny,85.7,658,575
2026-01-24,Saturday,Sunny,91.4,445,400
2026-01-25,Sunday,Sunny,89.5,428,378
2026-01-26,Monday,Cloudy,86.5,608,545
2026-01-27,Tuesday,Sunny,76.8,523,478
2026-01-28,Wednesday,Sunny,87.6,647,543
2026-01-29,Thursday,Sunny,72.3,540,464
2026-01-30,Friday,Sunny,77.6,536,500
2026-01-31,Saturday,Cloudy,75.1,375,318
2026-02-01,Sunday,Sunny,80.8,384,342
2026-02-02,Monday,Sunny,100.0,733,619
2026-02-03,Tuesday,Rainy,61.3,328,280
2026-02-04,Wednesday,Rainy,86.9,480,431
2026-02-05,Thursday,Cloudy,63.9,450,427
2026-02-06,Friday,Sunny,75.3,548,503
2026-02-07,Saturday,Sunny,90.9,445,393
2026-02-08,Sunday,Cloudy,80.6,417,364
2026-02-09,Monday,Sunny,69.2,478,439
2026-02-10,Tuesday,Sunny,72.8,554,517
2026-02-11,Wednesday,Sunny,86.8,664,565
2026-02-12,Thursday,Sunny,72.7,541,452
2026-02-13,Friday,Rainy,82.2,471,417
2026-02-14,Saturday,Sunny,80.5,344,320
2026-02-15,Sunday,Cloudy,73.5,356,326
2026-02-16,Monday,Sunny,100.0,642,610
2026-02-17,Tuesday,Sunny,86.3,607,511
2026-02-18,Wednesday,Sunny,59.7,384,360
2026-02-19,Thursday,Sunny,81.9,557,490
2026-02-20,Friday,Rainy,73.4,463,424
2026-02-21,Saturday,Cloudy,88.5,459,405
2026-02-22,Sunday,Rainy,72.1,308,268
2026-02-23,Monday,Rainy,78.9,527,449
2026-02-24,Tuesday,Sunny,85.0,576,533
2026-02-25,Wednesday,Rainy,88.7,477,454
2026-02-26,Thursday,Sunny,68.0,487,455
2026-02-27,Friday,Sunny,76.7,581,490
2026-02-28,Saturday,Sunny,75.3,364,308
2026-03-01,Sunday,Sunny,73.5,362,318
2026-03-02,Monday,Sunny,97.7,676,593
2026-03-03,Tuesday,Sunny,84.0,573,498
2026-03-04,Wednesday,Cloudy,67.4,474,440
2026-03-05,Thursday,Sunny,89.2,708,596
2026-03-06,Friday,Sunny,100.0,664,597
2026-03-07,Saturday,Sunny,90.3,450,406
2026-03-08,Sunday,Sunny,64.8,306,271
2026-03-09,Monday,Cloudy,75.2,486,460
2026-03-10,Tuesday,Sunny,92.7,609,567
2026-03-11,Wednesday,Rainy,72.9,429,370
2026-03-12,Thursday,Cloudy,84.4,562,529
2026-03-13,Friday,Sunny,87.7,607,532
2026-03-14,Saturday,Sunny,70.7,342,315
2026-03-15,Sunday,Cloudy,79.4,384,346
2026-03-16,Monday,Cloudy,47.6,320,293
2026-03-17,Tuesday,Cloudy,69.8,461,418
2026-03-18,Wednesday,Cloudy,77.5,548,473
2026-03-19,Thursday,Sunny,67.5,478,437
2026-03-20,Friday,Sunny,96.3,695,612
2026-03-21,Saturday,Sunny,65.7,301,268
2026-03-22,Sunday,Rainy,75.6,325,283
2026-03-23,Monday,Cloudy,81.3,623,523
2026-03-24,Tuesday,Sunny,94.4,646,557
2026-03-25,Wednesday,Sunny,65.6,456,421
2026-03-26,Thursday,Sunny,91.6,590,559
2026-03-27,Friday,Sunny,80.1,558,512
2026-03-28,Saturday,Cloudy,70.2,333,292
2026-03-29,Sunday,Cloudy,84.6,353,334
2026-03-30,Monday,Rainy,82.0,453,403
2026-03-31,Tuesday,Sunny,74.0,528,463
2026-04-01,Wednesday,Sunny,80.7,561,510
2026-04-02,Thursday,Cloudy,76.1,534,458
2026-04-03,Friday,Cloudy,81.1,554,520
2026-04-04,Saturday,Sunny,86.6,367,346
2026-04-05,Sunday,Cloudy,95.9,485,418
2026-04-06,Monday,Sunny,67.6,447,398
2026-04-07,Tuesday,Sunny,100.0,706,612
2026-04-08,Wednesday,Sunny,60.5,423,379
2026-04-09,Thursday,Sunny,78.5,514,473
2026-04-10,Friday,Sunny,85.9,620,529
2026-04-11,Saturday,Sunny,82.8,447,382
2026-04-12,Sunday,Cloudy,73.8,359,311
2026-04-13,Monday,Sunny,77.9,550,504
2026-04-14,Tuesday,Sunny,75.1,509,447
2026-04-15,Wednesday,Rainy,74.1,446,404
2026-04-16,Thursday,Sunny,88.5,619,582
2026-04-17,Friday,Sunny,83.6,562,473
2026-04-18,Saturday,Cloudy,73.1,325,304
2026-04-19,Sunday,Sunny,89.0,478,401
2026-04-20,Monday,Sunny,83.1,575,515
2026-04-21,Tuesday,Sunny,88.1,601,558
2026-04-22,Wednesday,Sunny,86.3,596,527
2026-04-23,Thursday,Rainy,71.7,452,383
2026-04-24,Friday,Cloudy,74.4,536,462
2026-04-25,Saturday,Cloudy,87.5,475,406
2026-04-26,Sunday,Rainy,86.1,373,325
2026-04-27,Monday,Cloudy,79.8,583,505
2026-04-28,Tuesday,Sunny,81.2,588,499
2026-04-29,Wednesday,Rainy,92.8,525,483
2026-04-30,Thursday,Sunny,74.1,510,454
2026-05-01,Friday,Cloudy,85.5,587,542
2026-05-02,Saturday,Rainy,78.0,338,282
2026-05-03,Sunday,Sunny,77.8,412,346
2026-05-04,Monday,Sunny,91.0,644,610
2026-05-05,Tuesday,Sunny,88.3,658,569
2026-05-06,Wednesday,Sunny,88.1,647,544
2026-05-07,Thursday,Cloudy,93.1,653,606
2026-05-08,Friday,Rainy,80.2,475,418
2026-05-09,Saturday,Sunny,86.8,403,339
2026-05-10,Sunday,Sunny,76.9,333,316
2026-05-11,Monday,Sunny,83.2,558,483
2026-05-12,Tuesday,Sunny,78.7,531,485
2026-05-13,Wednesday,Sunny,81.0,601,506
2026-05-14,Thursday,Sunny,86.0,683,571
2026-05-15,Friday,Rainy,71.8,462,388
2026-05-16,Saturday,Sunny,100.0,485,433
2026-05-17,Sunday,Sunny,69.9,381,323
2026-05-18,Monday,Cloudy,67.9,447,380
2026-05-19,Tuesday,Sunny,91.6,633,577
2026-05-20,Wednesday,Rainy,87.9,566,482
2026-05-21,Thursday,Rainy,86.2,453,429
2026-05-22,Friday,Sunny,86.3,640,562
2026-05-23,Saturday,Sunny,79.9,386,356
2026-05-24,Sunday,Sunny,71.0,323,302
2026-05-25,Monday,Sunny,80.8,549,517
2026-05-26,Tuesday,Sunny,73.2,581,503
2026-05-27,Wednesday,Cloudy,89.8,622,565
2026-05-28,Thursday,Sunny,78.5,575,496
2026-05-29,Friday,Sunny,71.7,465,439
2026-05-30,Saturday,Sunny,76.8,350,319
2026-05-31,Sunday,Rainy,84.1,372,329
2026-06-01,Monday,Sunny,74.4,524,448
2026-06-02,Tuesday,Sunny,71.8,494,450
2026-06-03,Wednesday,Sunny,82.4,579,506
2026-06-04,Thursday,Rainy,82.4,530,448
2026-06-05,Friday,Sunny,74.9,543,475
2026-06-06,Saturday,Cloudy,75.3,380,350
2026-06-07,Sunday,Cloudy,82.3,369,350
2026-06-08,Monday,Sunny,65.5,477,404
2026-06-09,Tuesday,Cloudy,65.9,413,392
2026-06-10,Wednesday,Sunny,72.8,527,446
2026-06-11,Thursday,Cloudy,77.9,558,494
2026-06-12,Friday,Cloudy,83.1,637,535
2026-06-13,Saturday,Sunny,94.8,463,396
2026-06-14,Sunday,Sunny,88.6,486,405
2026-06-15,Monday,Cloudy,78.4,570,517
2026-06-16,Tuesday,Sunny,79.8,591,507
2026-06-17,Wednesday,Sunny,70.0,527,475
2026-06-18,Thursday,Sunny,79.8,542,483
2026-06-19,Friday,Sunny,77.1,523,457
2026-06-20,Saturday,Cloudy,83.2,389,329
2026-06-21,Sunday,Sunny,71.7,412,344
2026-06-22,Monday,Sunny,85.2,636,546
2026-06-23,Tuesday,Sunny,95.3,662,595
2026-06-24,Wednesday,Cloudy,78.9,555,499
2026-06-25,Thursday,Sunny,84.0,584,503
2026-06-26,Friday,Cloudy,86.9,643,592
2026-06-27,Saturday,Sunny,76.0,357,335
2026-06-28,Sunday,Rainy,82.2,340,308
2026-06-29,Monday,Sunny,80.1,563,515
2026-06-30,Tuesday,Sunny,81.0,565,516
2026-07-01,Wednesday,Sunny,72.3,495,456
2026-07-02,Thursday,Rainy,80.2,433,410
2026-07-03,Friday,Rainy,85.0,485,461
2026-07-04,Saturday,Sunny,94.5,540,451
2026-07-05,Sunday,Cloudy,89.6,467,419
2026-07-06,Monday,Cloudy,100.0,728,657
2026-07-07,Tuesday,Sunny,72.3,509,442
2026-07-08,Wednesday,Sunny,88.7,579,535
2026-07-09,Thursday,Sunny,81.8,607,509
2026-07-10,Friday,Sunny,100.0,731,626
2026-07-11,Saturday,Rainy,71.9,307,289
2026-07-12,Sunday,Rainy,71.6,258,232
2026-07-13,Monday,Cloudy,74.0,583,493
2026-07-14,Tuesday,Sunny,58.8,434,364
2026-07-15,Wednesday,Sunny,74.7,514,459
2026-07-16,Thursday,Cloudy,72.4,493,432
2026-07-17,Friday,Rainy,81.5,430,400
2026-07-18,Saturday,Rainy,83.4,392,327
2026-07-19,Sunday,Cloudy,98.8,471,434
2026-07-20,Monday,Cloudy,89.5,636,534
2026-07-21,Tuesday,Sunny,74.2,503,438
2026-07-22,Wednesday,Sunny,71.0,499,437
2026-07-23,Thursday,Rainy,84.9,547,485
2026-07-24,Friday,Cloudy,66.8,447,412
2026-07-25,Saturday,Sunny,98.3,431,400
2026-07-26,Sunday,Sunny,91.8,430,397
2026-07-27,Monday,Cloudy,75.3,501,465
2026-07-28,Tuesday,Sunny,62.9,396,339
2026-07-29,Wednesday,Sunny,93.5,644,584
2026-07-30,Thursday,Sunny,78.9,517,488
2026-07-31,Friday,Cloudy,92.4,706,591
2026-08-01,Saturday,Cloudy,64.1,375,317
2026-08-02,Sunday,Sunny,74.0,411,346
2026-08-03,Monday,Cloudy,80.1,594,495
2026-08-04,Tuesday,Sunny,80.5,518,481
2026-08-05,Wednesday,Sunny,75.5,580,523
2026-08-06,Thursday,Cloudy,86.2,628,540
2026-08-07,Friday,Cloudy,69.3,501,434
2026-08-08,Saturday,Cloudy,78.6,368,343
2026-08-09,Sunday,Cloudy,81.2,421,359
2026-08-10,Monday,Sunny,85.1,573,529
2026-08-11,Tuesday,Sunny,87.1,578,533
2026-08-12,Wednesday,Sunny,68.8,474,419
2026-08-13,Thursday,Sunny,64.7,459,403
2026-08-14,Friday,Sunny,92.8,647,569
2026-08-15,Saturday,Rainy,83.3,315,296
2026-08-16,Sunday,Sunny,72.5,377,319
2026-08-17,Monday,Rainy,95.5,547,502
2026-08-18,Tuesday,Cloudy,81.2,574,537
2026-08-19,Wednesday,Cloudy,91.8,617,521
2026-08-20,Thursday,Sunny,80.7,628,526
2026-08-21,Friday,Sunny,100.0,767,650
2026-08-22,Saturday,Sunny,97.6,451,385
2026-08-23,Sunday,Sunny,77.5,381,332
2026-08-24,Monday,Cloudy,89.7,626,553
2026-08-25,Tuesday,Sunny,86.5,544,512
2026-08-26,Wednesday,Sunny,93.7,633,570
2026-08-27,Thursday,Cloudy,70.4,461,417
2026-08-28,Friday,Sunny,86.9,629,578
