date,day_of_week,is_weekend,attendance,temperature_c,holiday,food_prepared_meals,meals_served,surplus_meals,surplus_kg
2025-01-01,2,0,852,31.9,0,922,842,80,8.0
2025-01-02,3,0,964,20.9,0,1048,944,104,10.4
2025-01-03,4,0,901,29.8,0,920,876,44,4.4
2025-01-04,5,1,587,22.8,0,581,527,54,5.4
2025-01-05,6,1,635,20.3,0,630,549,81,8.1
2025-01-06,0,0,1020,26.8,0,1037,969,68,6.8
2025-01-07,1,0,804,34.7,0,879,803,76,7.6
2025-01-08,2,0,1023,34.2,1,916,810,106,10.6
2025-01-09,3,0,1014,20.2,0,1080,972,108,10.8
2025-01-10,4,0,1013,20.5,0,995,925,70,7.0
2025-01-11,5,1,503,31.3,0,498,473,25,2.5
2025-01-12,6,1,545,31.6,1,307,269,38,3.8
2025-01-13,0,0,1019,30.9,0,1145,999,146,14.6
2025-01-14,1,0,962,25.8,0,1115,984,131,13.1
2025-01-15,2,0,966,24.2,0,979,926,53,5.3
2025-01-16,3,0,1076,26.4,0,1092,1012,80,8.0
2025-01-17,4,0,812,32.2,0,865,818,47,4.7
2025-01-18,5,1,630,29.8,0,675,595,80,8.0
2025-01-19,6,1,411,25.0,0,384,342,42,4.2
2025-01-20,0,0,963,33.3,0,959,903,56,5.6
2025-01-21,1,0,880,31.4,0,941,854,87,8.7
2025-01-22,2,0,764,21.7,0,824,770,54,5.4
2025-01-23,3,0,980,27.1,0,1018,917,101,10.1
2025-01-24,4,0,892,31.3,0,927,876,51,5.1
2025-01-25,5,1,586,30.4,0,532,502,30,3.0
2025-01-26,6,1,427,32.1,0,480,421,59,5.9
2025-01-27,0,0,1080,24.9,0,1120,1040,80,8.0
2025-01-28,1,0,1032,26.4,0,1108,975,133,13.3
2025-01-29,2,0,947,27.7,0,973,898,75,7.5
2025-01-30,3,0,1064,24.8,0,1120,1000,120,12.0
2025-01-31,4,0,862,21.0,0,940,838,102,10.2
2025-02-01,5,1,500,24.3,0,469,422,47,4.7
2025-02-02,6,1,529,26.2,0,569,509,60,6.0
2025-02-03,0,0,802,27.3,1,581,541,40,4.0
2025-02-04,1,0,1073,21.2,0,1126,1026,100,10.0
2025-02-05,2,0,847,29.5,0,854,806,48,4.8
2025-02-06,3,0,846,22.3,0,894,826,68,6.8
2025-02-07,4,0,1095,27.7,0,1172,1052,120,12.0
2025-02-08,5,1,451,34.1,0,508,455,53,5.3
2025-02-09,6,1,584,21.7,0,593,521,72,7.2
2025-02-10,0,0,848,23.4,0,872,810,62,6.2
2025-02-11,1,0,1053,34.5,0,1168,1026,142,14.2
2025-02-12,2,0,758,24.2,0,799,733,66,6.6
2025-02-13,3,0,910,29.6,0,939,881,58,5.8
2025-02-14,4,0,853,29.1,0,875,833,42,4.2
2025-02-15,5,1,527,24.6,0,499,456,43,4.3
2025-02-16,6,1,588,23.4,0,570,507,63,6.3
2025-02-17,0,0,884,30.8,0,915,829,86,8.6
2025-02-18,1,0,771,23.7,1,627,563,64,6.4
2025-02-19,2,0,975,25.3,0,1030,922,108,10.8
2025-02-20,3,0,1066,27.5,0,1093,1014,79,7.9
2025-02-21,4,0,755,25.6,0,840,735,105,10.5
2025-02-22,5,1,640,28.3,0,602,559,43,4.3
2025-02-23,6,1,466,22.5,0,456,399,57,5.7
2025-02-24,0,0,807,34.0,0,880,810,70,7.0
2025-02-25,1,0,876,27.8,0,918,817,101,10.1
2025-02-26,2,0,1048,30.6,0,1063,988,75,7.5
2025-02-27,3,0,762,21.2,0,763,686,77,7.7
2025-02-28,4,0,769,29.7,0,820,757,63,6.3
2025-03-01,5,1,491,28.7,0,507,454,53,5.3
2025-03-02,6,1,450,27.0,0,449,426,23,2.3
2025-03-03,0,0,929,20.6,0,924,837,87,8.7
2025-03-04,1,0,850,27.8,0,883,834,49,4.9
2025-03-05,2,0,1099,28.1,0,1138,1014,124,12.4
2025-03-06,3,0,1018,34.5,0,1075,983,92,9.2
2025-03-07,4,0,807,21.2,0,868,757,111,11.1
2025-03-08,5,1,422,26.4,0,364,344,20,2.0
2025-03-09,6,1,488,29.9,0,504,440,64,6.4
2025-03-10,0,0,941,28.3,0,940,866,74,7.4
2025-03-11,1,0,835,20.2,0,823,780,43,4.3
2025-03-12,2,0,843,32.8,0,880,801,79,7.9
2025-03-13,3,0,788,25.2,0,845,758,87,8.7
2025-03-14,4,0,999,29.2,0,1061,954,107,10.7
2025-03-15,5,1,585,27.5,0,582,520,62,6.2
2025-03-16,6,1,415,21.1,0,420,367,53,5.3
2025-03-17,0,0,901,30.2,0,916,862,54,5.4
2025-03-18,1,0,928,32.3,0,976,912,64,6.4
2025-03-19,2,0,1034,21.0,0,1051,999,52,5.2
2025-03-20,3,0,991,30.2,0,1025,974,51,5.1
2025-03-21,4,0,864,24.2,0,911,814,97,9.7
2025-03-22,5,1,636,34.0,0,665,602,63,6.3
2025-03-23,6,1,500,31.3,0,530,461,69,6.9
2025-03-24,0,0,785,25.6,0,876,771,105,10.5
2025-03-25,1,0,932,31.3,0,950,896,54,5.4
2025-03-26,2,0,1022,28.0,0,993,937,56,5.6
2025-03-27,3,0,849,20.2,0,829,783,46,4.6
2025-03-28,4,0,1033,34.3,1,926,846,80,8.0
2025-03-29,5,1,498,29.0,0,517,483,34,3.4
2025-03-30,6,1,452,31.9,0,443,420,23,2.3
2025-03-31,0,0,972,20.8,0,988,894,94,9.4
2025-04-01,1,0,1080,21.8,0,1093,1031,62,6.2
2025-04-02,2,0,756,26.4,0,836,767,69,6.9
2025-04-03,3,0,1032,30.6,0,1079,954,125,12.5
2025-04-04,4,0,1076,34.8,0,1091,1003,88,8.8
2025-04-05,5,1,558,27.2,0,521,481,40,4.0
2025-04-06,6,1,525,27.4,0,546,498,48,4.8
2025-04-07,0,0,807,31.1,0,897,802,95,9.5
2025-04-08,1,0,1097,34.4,0,1158,1074,84,8.4
2025-04-09,2,0,1061,27.9,0,1015,963,52,5.2
2025-04-10,3,0,962,34.9,0,1051,951,100,10.0
2025-04-11,4,0,769,21.1,0,824,717,107,10.7
2025-04-12,5,1,453,28.8,0,412,391,21,2.1
2025-04-13,6,1,411,34.4,0,398,367,31,3.1
2025-04-14,0,0,871,22.8,0,894,824,70,7.0
2025-04-15,1,0,927,24.0,0,921,874,47,4.7
2025-04-16,2,0,950,24.6,0,965,863,102,10.2
2025-04-17,3,0,795,21.1,1,685,600,85,8.5
2025-04-18,4,0,759,34.0,0,747,708,39,3.9
2025-04-19,5,1,518,26.2,0,519,477,42,4.2
2025-04-20,6,1,425,25.7,1,209,184,25,2.5
2025-04-21,0,0,847,20.6,0,913,812,101,10.1
2025-04-22,1,0,1008,28.3,0,1158,1012,146,14.6
2025-04-23,2,0,832,23.7,0,851,762,89,8.9
2025-04-24,3,0,1037,20.7,0,1040,988,52,5.2
2025-04-25,4,0,999,27.8,0,1088,984,104,10.4
2025-04-26,5,1,532,21.3,0,525,473,52,5.2
2025-04-27,6,1,446,26.3,0,494,433,61,6.1
2025-04-28,0,0,941,20.2,0,998,900,98,9.8
2025-04-29,1,0,1035,28.3,0,1092,997,95,9.5
2025-04-30,2,0,1084,25.9,0,1216,1070,146,14.6
2025-05-01,3,0,882,31.9,0,918,869,49,4.9
2025-05-02,4,0,818,34.7,0,888,820,68,6.8
2025-05-03,5,1,634,28.7,0,581,524,57,5.7
2025-05-04,6,1,602,22.1,0,627,587,40,4.0
2025-05-05,0,0,933,26.2,0,1004,904,100,10.0
2025-05-06,1,0,800,20.6,0,821,762,59,5.9
2025-05-07,2,0,1066,20.5,0,1079,947,132,13.2
2025-05-08,3,0,827,25.0,0,855,807,48,4.8
2025-05-09,4,0,796,29.4,0,873,772,101,10.1
2025-05-10,5,1,512,29.0,1,290,263,27,2.7
2025-05-11,6,1,455,27.3,0,448,398,50,5.0
2025-05-12,0,0,763,22.2,0,756,676,80,8.0
2025-05-13,1,0,987,31.2,0,1027,942,85,8.5
2025-05-14,2,0,941,24.0,0,965,917,48,4.8
2025-05-15,3,0,1022,23.2,0,1138,1008,130,13.0
2025-05-16,4,0,858,27.2,0,954,849,105,10.5
2025-05-17,5,1,510,31.2,0,502,462,40,4.0
2025-05-18,6,1,425,29.1,0,411,374,37,3.7
2025-05-19,0,0,978,34.0,0,1025,933,92,9.2
2025-05-20,1,0,1099,22.8,0,1071,1003,68,6.8
2025-05-21,2,0,1060,32.6,0,1092,1039,53,5.3
2025-05-22,3,0,867,23.9,0,929,832,97,9.7
2025-05-23,4,0,943,28.4,0,993,929,64,6.4
2025-05-24,5,1,517,30.7,0,515,458,57,5.7
2025-05-25,6,1,539,21.7,0,526,494,32,3.2
2025-05-26,0,0,1082,28.0,0,1071,988,83,8.3
2025-05-27,1,0,759,28.2,0,799,755,44,4.4
2025-05-28,2,0,1068,30.2,0,1105,996,109,10.9
2025-05-29,3,0,787,26.2,0,817,765,52,5.2
2025-05-30,4,0,784,33.9,0,819,776,43,4.3
2025-05-31,5,1,492,22.1,0,453,425,28,2.8
2025-06-01,6,1,404,23.5,0,399,350,49,4.9
2025-06-02,0,0,838,33.2,0,885,814,71,7.1
2025-06-03,1,0,928,29.4,0,1014,927,87,8.7
2025-06-04,2,0,902,25.3,0,906,844,62,6.2
2025-06-05,3,0,788,21.8,1,616,554,62,6.2
2025-06-06,4,0,791,22.1,0,880,772,108,10.8
2025-06-07,5,1,563,35.0,0,653,583,70,7.0
2025-06-08,6,1,554,31.2,0,625,549,76,7.6
2025-06-09,0,0,867,32.3,0,970,855,115,11.5
2025-06-10,1,0,965,29.1,0,983,901,82,8.2
2025-06-11,2,0,922,30.8,0,1081,966,115,11.5
2025-06-12,3,0,1041,30.7,0,1058,969,89,8.9
2025-06-13,4,0,1095,34.2,0,1150,1037,113,11.3
2025-06-14,5,1,589,21.5,0,571,539,32,3.2
2025-06-15,6,1,639,30.4,0,700,625,75,7.5
2025-06-16,0,0,855,31.6,0,873,817,56,5.6
2025-06-17,1,0,1062,25.0,0,1065,993,72,7.2
2025-06-18,2,0,898,25.7,0,972,875,97,9.7
2025-06-19,3,0,1040,26.0,0,1110,972,138,13.8
